# sin^2(theta_24)   Delta_m^2_41   chi^2
1e-05 0.0001 -1.52538
1e-05 0.000125893 -1.35153
1e-05 0.000158489 -1.4358
1e-05 0.000199526 -1.57293
1e-05 0.000251189 -1.53049
1e-05 0.000316228 -1.5318
1e-05 0.000398107 -1.68621
1e-05 0.000501187 -1.45355
1e-05 0.000630957 -1.48828
1e-05 0.000794328 -1.42282
1e-05 0.001 -1.38536
1e-05 0.00125893 -1.52428
1e-05 0.00158489 -1.15265
1e-05 0.00199526 -1.35592
1e-05 0.00251189 -1.47413
1e-05 0.00316228 -1.30435
1e-05 0.00398107 -1.57748
1e-05 0.00501187 -1.35922
1e-05 0.00630957 -1.55417
1e-05 0.00794328 -1.44628
1e-05 0.01 -1.47002
1e-05 0.0125893 -1.54249
1e-05 0.0158489 -1.44529
1e-05 0.0199526 -1.35021
1e-05 0.0251189 -1.30277
1e-05 0.0316228 -1.01536
1e-05 0.0398107 -0.590709
1e-05 0.0501187 0.160433
1e-05 0.0630957 1.26405
1e-05 0.0794328 3.82251
1e-05 0.1 10.8599
1e-05 0.125893 29.0186
1e-05 0.158489 74.5657
1e-05 0.199526 188.687
1e-05 0.251189 474.057
1e-05 0.316228 1184.47
1e-05 0.398107 2941.77
1e-05 0.501187 7239.39
1e-05 0.630957 17611.7
1e-05 0.794328 42199.2
1e-05 1 99248.6
1e-05 1.25893 228121
1e-05 1.58489 506758
1e-05 1.99526 1.05651e+06
1e-05 2.51189 1.96264e+06
1e-05 3.16228 3.07504e+06
1e-05 3.98107 3.97265e+06
1e-05 5.01187 4.36036e+06
1e-05 6.30957 4.33454e+06
1e-05 7.94328 4.06605e+06
1e-05 10 3.35213e+06
1e-05 12.5893 2.26109e+06
1e-05 15.8489 1.63643e+06
1e-05 19.9526 1.318e+06
1e-05 25.1189 907184
1e-05 31.6228 741119
1e-05 39.8107 555349
1e-05 50.1187 325749
1e-05 63.0957 193680
1e-05 79.4328 132386
1.25893e-05 0.0001 -1.50697
1.25893e-05 0.000125893 -1.728
1.25893e-05 0.000158489 -1.44142
1.25893e-05 0.000199526 -1.38955
1.25893e-05 0.000251189 -1.39386
1.25893e-05 0.000316228 -1.41393
1.25893e-05 0.000398107 -1.59887
1.25893e-05 0.000501187 -1.56261
1.25893e-05 0.000630957 -1.57005
1.25893e-05 0.000794328 -1.47729
1.25893e-05 0.001 -1.54846
1.25893e-05 0.00125893 -1.28856
1.25893e-05 0.00158489 -1.41732
1.25893e-05 0.00199526 -1.37377
1.25893e-05 0.00251189 -1.56836
1.25893e-05 0.00316228 -1.70497
1.25893e-05 0.00398107 -1.55816
1.25893e-05 0.00501187 -1.37833
1.25893e-05 0.00630957 -1.6497
1.25893e-05 0.00794328 -1.47378
1.25893e-05 0.01 -1.45253
1.25893e-05 0.0125893 -1.56876
1.25893e-05 0.0158489 -1.38931
1.25893e-05 0.0199526 -1.27897
1.25893e-05 0.0251189 -1.09612
1.25893e-05 0.0316228 -0.899472
1.25893e-05 0.0398107 -0.528656
1.25893e-05 0.0501187 0.391812
1.25893e-05 0.0630957 2.53571
1.25893e-05 0.0794328 6.81158
1.25893e-05 0.1 17.9659
1.25893e-05 0.125893 46.776
1.25893e-05 0.158489 118.462
1.25893e-05 0.199526 298.953
1.25893e-05 0.251189 750.801
1.25893e-05 0.316228 1877.01
1.25893e-05 0.398107 4661.62
1.25893e-05 0.501187 11473.1
1.25893e-05 0.630957 27912
1.25893e-05 0.794328 66880.5
1.25893e-05 1 157297
1.25893e-05 1.25893 361545
1.25893e-05 1.58489 803152
1.25893e-05 1.99526 1.67445e+06
1.25893e-05 2.51189 3.11057e+06
1.25893e-05 3.16228 4.87362e+06
1.25893e-05 3.98107 6.29626e+06
1.25893e-05 5.01187 6.91075e+06
1.25893e-05 6.30957 6.86983e+06
1.25893e-05 7.94328 6.44432e+06
1.25893e-05 10 5.3128e+06
1.25893e-05 12.5893 3.58361e+06
1.25893e-05 15.8489 2.59357e+06
1.25893e-05 19.9526 2.08889e+06
1.25893e-05 25.1189 1.4378e+06
1.25893e-05 31.6228 1.1746e+06
1.25893e-05 39.8107 880174
1.25893e-05 50.1187 516280
1.25893e-05 63.0957 306964
1.25893e-05 79.4328 209819
1.58489e-05 0.0001 -1.60453
1.58489e-05 0.000125893 -1.6066
1.58489e-05 0.000158489 -1.48196
1.58489e-05 0.000199526 -1.51106
1.58489e-05 0.000251189 -1.46974
1.58489e-05 0.000316228 -1.31232
1.58489e-05 0.000398107 -1.48373
1.58489e-05 0.000501187 -1.47382
1.58489e-05 0.000630957 -1.39097
1.58489e-05 0.000794328 -1.35555
1.58489e-05 0.001 -1.72014
1.58489e-05 0.00125893 -1.38047
1.58489e-05 0.00158489 -1.5631
1.58489e-05 0.00199526 -1.59647
1.58489e-05 0.00251189 -1.52005
1.58489e-05 0.00316228 -1.38478
1.58489e-05 0.00398107 -1.81769
1.58489e-05 0.00501187 -1.26427
1.58489e-05 0.00630957 -1.44308
1.58489e-05 0.00794328 -1.3781
1.58489e-05 0.01 -1.40602
1.58489e-05 0.0125893 -1.47288
1.58489e-05 0.0158489 -1.34535
1.58489e-05 0.0199526 -1.2645
1.58489e-05 0.0251189 -0.863737
1.58489e-05 0.0316228 -0.542479
1.58489e-05 0.0398107 0.0594955
1.58489e-05 0.0501187 1.37081
1.58489e-05 0.0630957 4.05522
1.58489e-05 0.0794328 10.9427
1.58489e-05 0.1 29.0015
1.58489e-05 0.125893 73.9742
1.58489e-05 0.158489 187.75
1.58489e-05 0.199526 473.45
1.58489e-05 0.251189 1190.36
1.58489e-05 0.316228 2975.52
1.58489e-05 0.398107 7387.79
1.58489e-05 0.501187 18184.3
1.58489e-05 0.630957 44237.4
1.58489e-05 0.794328 105999
1.58489e-05 1 249296
1.58489e-05 1.25893 573005
1.58489e-05 1.58489 1.2729e+06
1.58489e-05 1.99526 2.65381e+06
1.58489e-05 2.51189 4.9299e+06
1.58489e-05 3.16228 7.72418e+06
1.58489e-05 3.98107 9.97894e+06
1.58489e-05 5.01187 1.09529e+07
1.58489e-05 6.30957 1.08881e+07
1.58489e-05 7.94328 1.02137e+07
1.58489e-05 10 8.4203e+06
1.58489e-05 12.5893 5.67967e+06
1.58489e-05 15.8489 4.11056e+06
1.58489e-05 19.9526 3.31068e+06
1.58489e-05 25.1189 2.27878e+06
1.58489e-05 31.6228 1.86164e+06
1.58489e-05 39.8107 1.39499e+06
1.58489e-05 50.1187 818255
1.58489e-05 63.0957 486507
1.58489e-05 79.4328 332543
1.99526e-05 0.0001 -1.49247
1.99526e-05 0.000125893 -1.61268
1.99526e-05 0.000158489 -1.35563
1.99526e-05 0.000199526 -1.58081
1.99526e-05 0.000251189 -1.54037
1.99526e-05 0.000316228 -1.5108
1.99526e-05 0.000398107 -1.36581
1.99526e-05 0.000501187 -1.42308
1.99526e-05 0.000630957 -1.35535
1.99526e-05 0.000794328 -1.35416
1.99526e-05 0.001 -1.57121
1.99526e-05 0.00125893 -1.33612
1.99526e-05 0.00158489 -1.47346
1.99526e-05 0.00199526 -1.25002
1.99526e-05 0.00251189 -1.46515
1.99526e-05 0.00316228 -1.62036
1.99526e-05 0.00398107 -1.34424
1.99526e-05 0.00501187 -1.60368
1.99526e-05 0.00630957 -1.47278
1.99526e-05 0.00794328 -1.55604
1.99526e-05 0.01 -1.45249
1.99526e-05 0.0125893 -1.51527
1.99526e-05 0.0158489 -1.28074
1.99526e-05 0.0199526 -1.13743
1.99526e-05 0.0251189 -0.790571
1.99526e-05 0.0316228 -0.0738785
1.99526e-05 0.0398107 0.383743
1.99526e-05 0.0501187 2.28912
1.99526e-05 0.0630957 6.52801
1.99526e-05 0.0794328 17.5622
1.99526e-05 0.1 46.097
1.99526e-05 0.125893 117.576
1.99526e-05 0.158489 298.318
1.99526e-05 0.199526 751.101
1.99526e-05 0.251189 1887.27
1.99526e-05 0.316228 4715.84
1.99526e-05 0.398107 11708.9
1.99526e-05 0.501187 28819.8
1.99526e-05 0.630957 70111
1.99526e-05 0.794328 167994
1.99526e-05 1 395105
1.99526e-05 1.25893 908144
1.99526e-05 1.58489 2.01739e+06
1.99526e-05 1.99526 4.20597e+06
1.99526e-05 2.51189 7.81335e+06
1.99526e-05 3.16228 1.2242e+07
1.99526e-05 3.98107 1.58157e+07
1.99526e-05 5.01187 1.73593e+07
1.99526e-05 6.30957 1.72566e+07
1.99526e-05 7.94328 1.61878e+07
1.99526e-05 10 1.33454e+07
1.99526e-05 12.5893 9.00174e+06
1.99526e-05 15.8489 6.51482e+06
1.99526e-05 19.9526 5.24711e+06
1.99526e-05 25.1189 3.61166e+06
1.99526e-05 31.6228 2.95052e+06
1.99526e-05 39.8107 2.21094e+06
1.99526e-05 50.1187 1.29686e+06
1.99526e-05 63.0957 771069
1.99526e-05 79.4328 527049
2.51189e-05 0.0001 -1.48937
2.51189e-05 0.000125893 -1.70262
2.51189e-05 0.000158489 -1.37861
2.51189e-05 0.000199526 -1.51157
2.51189e-05 0.000251189 -1.535
2.51189e-05 0.000316228 -1.50798
2.51189e-05 0.000398107 -1.49334
2.51189e-05 0.000501187 -1.51148
2.51189e-05 0.000630957 -1.39624
2.51189e-05 0.000794328 -1.4882
2.51189e-05 0.001 -1.63112
2.51189e-05 0.00125893 -1.56073
2.51189e-05 0.00158489 -1.41923
2.51189e-05 0.00199526 -1.24419
2.51189e-05 0.00251189 -1.50185
2.51189e-05 0.00316228 -1.53619
2.51189e-05 0.00398107 -1.48484
2.51189e-05 0.00501187 -1.68355
2.51189e-05 0.00630957 -1.5834
2.51189e-05 0.00794328 -1.45975
2.51189e-05 0.01 -1.43834
2.51189e-05 0.0125893 -1.34485
2.51189e-05 0.0158489 -1.3829
2.51189e-05 0.0199526 -0.933992
2.51189e-05 0.0251189 -0.88541
2.51189e-05 0.0316228 -0.0143051
2.51189e-05 0.0398107 1.03486
2.51189e-05 0.0501187 3.8812
2.51189e-05 0.0630957 11.134
2.51189e-05 0.0794328 28.5767
2.51189e-05 0.1 73.2431
2.51189e-05 0.125893 186.832
2.51189e-05 0.158489 472.309
2.51189e-05 0.199526 1191.44
2.51189e-05 0.251189 2991.31
2.51189e-05 0.316228 7474.35
2.51189e-05 0.398107 18557.1
2.51189e-05 0.501187 45676.1
2.51189e-05 0.630957 111117
2.51189e-05 0.794328 266249
2.51189e-05 1 626192
2.51189e-05 1.25893 1.43929e+06
2.51189e-05 1.58489 3.19732e+06
2.51189e-05 1.99526 6.66596e+06
2.51189e-05 2.51189 1.23833e+07
2.51189e-05 3.16228 1.94023e+07
2.51189e-05 3.98107 2.50663e+07
2.51189e-05 5.01187 2.7513e+07
2.51189e-05 6.30957 2.73504e+07
2.51189e-05 7.94328 2.56563e+07
2.51189e-05 10 2.11514e+07
2.51189e-05 12.5893 1.42669e+07
2.51189e-05 15.8489 1.03254e+07
2.51189e-05 19.9526 8.31618e+06
2.51189e-05 25.1189 5.72416e+06
2.51189e-05 31.6228 4.67633e+06
2.51189e-05 39.8107 3.50415e+06
2.51189e-05 50.1187 2.05541e+06
2.51189e-05 63.0957 1.22208e+06
2.51189e-05 79.4328 835322
3.16228e-05 0.0001 -1.44873
3.16228e-05 0.000125893 -1.50194
3.16228e-05 0.000158489 -1.54141
3.16228e-05 0.000199526 -1.49657
3.16228e-05 0.000251189 -1.47368
3.16228e-05 0.000316228 -1.57373
3.16228e-05 0.000398107 -1.52702
3.16228e-05 0.000501187 -1.62324
3.16228e-05 0.000630957 -1.64341
3.16228e-05 0.000794328 -1.37016
3.16228e-05 0.001 -1.61369
3.16228e-05 0.00125893 -1.24851
3.16228e-05 0.00158489 -1.55844
3.16228e-05 0.00199526 -1.26839
3.16228e-05 0.00251189 -1.52479
3.16228e-05 0.00316228 -1.56645
3.16228e-05 0.00398107 -1.51685
3.16228e-05 0.00501187 -1.62464
3.16228e-05 0.00630957 -1.5175
3.16228e-05 0.00794328 -1.66133
3.16228e-05 0.01 -1.23953
3.16228e-05 0.0125893 -1.34847
3.16228e-05 0.0158489 -1.22412
3.16228e-05 0.0199526 -0.957114
3.16228e-05 0.0251189 -0.39657
3.16228e-05 0.0316228 0.477738
3.16228e-05 0.0398107 2.19042
3.16228e-05 0.0501187 6.50057
3.16228e-05 0.0630957 17.5675
3.16228e-05 0.0794328 45.2624
3.16228e-05 0.1 116.104
3.16228e-05 0.125893 296.13
3.16228e-05 0.158489 748.782
3.16228e-05 0.199526 1887.8
3.16228e-05 0.251189 4741.26
3.16228e-05 0.316228 11845.9
3.16228e-05 0.398107 29410.4
3.16228e-05 0.501187 72390.9
3.16228e-05 0.630957 176107
3.16228e-05 0.794328 421969
3.16228e-05 1 992432
3.16228e-05 1.25893 2.28109e+06
3.16228e-05 1.58489 5.06734e+06
3.16228e-05 1.99526 1.05647e+07
3.16228e-05 2.51189 1.96261e+07
3.16228e-05 3.16228 3.07507e+07
