# sin^2(theta_24)   Delta_m^2_41   chi^2
1e-05 0.0001 7.15774e-10
1e-05 0.000125893 7.75209e-10
1e-05 0.000158489 8.69012e-10
1e-05 0.000199526 1.01698e-09
1e-05 0.000251189 1.25271e-09
1e-05 0.000316228 1.63582e-09
1e-05 0.000398107 2.26946e-09
1e-05 0.000501187 3.31149e-09
1e-05 0.000630957 4.95156e-09
1e-05 0.000794328 7.29717e-09
1e-05 0.001 9.98948e-09
1e-05 0.00125893 1.1343e-08
1e-05 0.00158489 8.64009e-09
1e-05 0.00199526 2.99801e-09
1e-05 0.00251189 4.58595e-10
1e-05 0.00316228 1.93321e-09
1e-05 0.00398107 1.0278e-08
1e-05 0.00501187 1.71959e-08
1e-05 0.00630957 9.96131e-09
1e-05 0.00794328 7.735e-09
1e-05 0.01 9.60091e-09
1e-05 0.0125893 1.13582e-08
1e-05 0.0158489 8.62302e-09
1e-05 0.0199526 8.24366e-09
1e-05 0.0251189 6.02552e-09
1e-05 0.0316228 8.93143e-09
1e-05 0.0398107 9.70271e-09
1e-05 0.0501187 8.00614e-09
1e-05 0.0630957 6.623e-09
1e-05 0.0794328 1.02858e-08
1e-05 0.1 6.71347e-09
1e-05 0.125893 7.00701e-09
1e-05 0.158489 9.3039e-09
1e-05 0.199526 5.53491e-09
1e-05 0.251189 8.86574e-09
1e-05 0.316228 7.2142e-09
1e-05 0.398107 7.51955e-09
1e-05 0.501187 7.68955e-09
1e-05 0.630957 9.65454e-09
1e-05 0.794328 1.13515e-08
1e-05 1 1.21229e-08
1e-05 1.25893 6.85528e-09
1e-05 1.58489 8.81284e-09
1e-05 1.99526 9.92926e-09
1e-05 2.51189 5.96701e-09
1e-05 3.16228 7.11744e-09
1e-05 3.98107 8.34544e-09
1e-05 5.01187 6.24619e-09
1e-05 6.30957 1.07105e-08
1e-05 7.94328 5.32469e-09
1e-05 10 8.50111e-09
1e-05 12.5893 6.1552e-09
1e-05 15.8489 5.18408e-09
1e-05 19.9526 8.17924e-09
1e-05 25.1189 7.91267e-09
1e-05 31.6228 1.08261e-08
1e-05 39.8107 1.15608e-08
1e-05 50.1187 8.71365e-09
1e-05 63.0957 8.08968e-09
1e-05 79.4328 7.83285e-09
1.25893e-05 0.0001 1.13441e-09
1.25893e-05 0.000125893 1.22861e-09
1.25893e-05 0.000158489 1.37727e-09
1.25893e-05 0.000199526 1.61178e-09
1.25893e-05 0.000251189 1.98538e-09
1.25893e-05 0.000316228 2.59256e-09
1.25893e-05 0.000398107 3.59681e-09
1.25893e-05 0.000501187 5.24831e-09
1.25893e-05 0.000630957 7.84765e-09
1.25893e-05 0.000794328 1.15652e-08
1.25893e-05 0.001 1.58323e-08
1.25893e-05 0.00125893 1.79775e-08
1.25893e-05 0.00158489 1.36936e-08
1.25893e-05 0.00199526 4.75152e-09
1.25893e-05 0.00251189 7.26839e-10
1.25893e-05 0.00316228 3.06391e-09
1.25893e-05 0.00398107 1.62895e-08
1.25893e-05 0.00501187 2.72537e-08
1.25893e-05 0.00630957 1.57876e-08
1.25893e-05 0.00794328 1.22591e-08
1.25893e-05 0.01 1.52164e-08
1.25893e-05 0.0125893 1.80015e-08
1.25893e-05 0.0158489 1.36665e-08
1.25893e-05 0.0199526 1.30653e-08
1.25893e-05 0.0251189 9.54974e-09
1.25893e-05 0.0316228 1.41553e-08
1.25893e-05 0.0398107 1.53777e-08
1.25893e-05 0.0501187 1.26888e-08
1.25893e-05 0.0630957 1.04967e-08
1.25893e-05 0.0794328 1.63019e-08
1.25893e-05 0.1 1.06401e-08
1.25893e-05 0.125893 1.11053e-08
1.25893e-05 0.158489 1.47456e-08
1.25893e-05 0.199526 8.77219e-09
1.25893e-05 0.251189 1.40512e-08
1.25893e-05 0.316228 1.14337e-08
1.25893e-05 0.398107 1.19176e-08
1.25893e-05 0.501187 1.21871e-08
1.25893e-05 0.630957 1.53013e-08
1.25893e-05 0.794328 1.79909e-08
1.25893e-05 1 1.92135e-08
1.25893e-05 1.25893 1.08648e-08
1.25893e-05 1.58489 1.39673e-08
1.25893e-05 1.99526 1.57367e-08
1.25893e-05 2.51189 9.457e-09
1.25893e-05 3.16228 1.12803e-08
1.25893e-05 3.98107 1.32266e-08
1.25893e-05 5.01187 9.89948e-09
1.25893e-05 6.30957 1.69749e-08
1.25893e-05 7.94328 8.43903e-09
1.25893e-05 10 1.34733e-08
1.25893e-05 12.5893 9.75527e-09
1.25893e-05 15.8489 8.21616e-09
1.25893e-05 19.9526 1.29632e-08
1.25893e-05 25.1189 1.25407e-08
1.25893e-05 31.6228 1.71581e-08
1.25893e-05 39.8107 1.83226e-08
1.25893e-05 50.1187 1.38101e-08
1.25893e-05 63.0957 1.28212e-08
1.25893e-05 79.4328 1.24142e-08
1.58489e-05 0.0001 1.79789e-09
1.58489e-05 0.000125893 1.94718e-09
