# sin^2(theta_24)   Delta_m^2_41   chi^2
1e-05 0.0001 9.34425e-10
1e-05 0.000125893 9.52237e-10
1e-05 0.000158489 9.97866e-10
1e-05 0.000199526 1.09485e-09
1e-05 0.000251189 1.28481e-09
1e-05 0.000316228 1.63945e-09
1e-05 0.000398107 2.27484e-09
1e-05 0.000501187 3.35734e-09
1e-05 0.000630957 5.07396e-09
1e-05 0.000794328 7.50698e-09
1e-05 0.001 1.02485e-08
1e-05 0.00125893 1.15851e-08
1e-05 0.00158489 8.83553e-09
1e-05 0.00199526 3.16178e-09
1e-05 0.00251189 5.99771e-10
1e-05 0.00316228 2.00879e-09
1e-05 0.00398107 1.02782e-08
1e-05 0.00501187 1.72687e-08
1e-05 0.00630957 9.96534e-09
1e-05 0.00794328 7.82572e-09
1e-05 0.01 9.62911e-09
1e-05 0.0125893 1.13833e-08
1e-05 0.0158489 8.66202e-09
1e-05 0.0199526 8.28015e-09
1e-05 0.0251189 6.07203e-09
1e-05 0.0316228 8.9719e-09
1e-05 0.0398107 9.73789e-09
1e-05 0.0501187 8.04649e-09
1e-05 0.0630957 6.6628e-09
1e-05 0.0794328 1.03186e-08
1e-05 0.1 6.77065e-09
1e-05 0.125893 7.09642e-09
1e-05 0.158489 9.32786e-09
1e-05 0.199526 5.59801e-09
1e-05 0.251189 8.93194e-09
1e-05 0.316228 7.25968e-09
1e-05 0.398107 7.57587e-09
1e-05 0.501187 7.7568e-09
1e-05 0.630957 9.68425e-09
1e-05 0.794328 1.14023e-08
1e-05 1 1.21617e-08
1e-05 1.25893 6.86176e-09
1e-05 1.58489 8.83879e-09
1e-05 1.99526 9.98039e-09
1e-05 2.51189 5.98187e-09
1e-05 3.16228 7.16097e-09
1e-05 3.98107 8.38022e-09
1e-05 5.01187 6.3088e-09
1e-05 6.30957 1.07415e-08
1e-05 7.94328 5.43475e-09
1e-05 10 8.55774e-09
1e-05 12.5893 6.19215e-09
1e-05 15.8489 5.24422e-09
1e-05 19.9526 8.19331e-09
1e-05 25.1189 7.9516e-09
1e-05 31.6228 1.08573e-08
1e-05 39.8107 1.15757e-08
1e-05 50.1187 8.72271e-09
1e-05 63.0957 8.1156e-09
1e-05 79.4328 7.85004e-09
1.25893e-05 0.0001 1.48093e-09
1.25893e-05 0.000125893 1.50916e-09
1.25893e-05 0.000158489 1.58148e-09
1.25893e-05 0.000199526 1.73518e-09
1.25893e-05 0.000251189 2.03625e-09
1.25893e-05 0.000316228 2.59832e-09
1.25893e-05 0.000398107 3.60534e-09
1.25893e-05 0.000501187 5.32099e-09
1.25893e-05 0.000630957 8.04165e-09
1.25893e-05 0.000794328 1.18977e-08
1.25893e-05 0.001 1.62428e-08
1.25893e-05 0.00125893 1.83612e-08
1.25893e-05 0.00158489 1.40034e-08
1.25893e-05 0.00199526 5.01108e-09
1.25893e-05 0.00251189 9.5059e-10
1.25893e-05 0.00316228 3.18371e-09
1.25893e-05 0.00398107 1.62898e-08
1.25893e-05 0.00501187 2.7369e-08
1.25893e-05 0.00630957 1.5794e-08
1.25893e-05 0.00794328 1.24029e-08
1.25893e-05 0.01 1.52611e-08
1.25893e-05 0.0125893 1.80412e-08
1.25893e-05 0.0158489 1.37283e-08
1.25893e-05 0.0199526 1.31231e-08
1.25893e-05 0.0251189 9.62346e-09
1.25893e-05 0.0316228 1.42194e-08
1.25893e-05 0.0398107 1.54335e-08
1.25893e-05 0.0501187 1.27528e-08
1.25893e-05 0.0630957 1.05598e-08
1.25893e-05 0.0794328 1.63539e-08
1.25893e-05 0.1 1.07307e-08
1.25893e-05 0.125893 1.1247e-08
1.25893e-05 0.158489 1.47836e-08
1.25893e-05 0.199526 8.8722e-09
1.25893e-05 0.251189 1.41561e-08
1.25893e-05 0.316228 1.15058e-08
1.25893e-05 0.398107 1.20069e-08
1.25893e-05 0.501187 1.22936e-08
1.25893e-05 0.630957 1.53484e-08
1.25893e-05 0.794328 1.80713e-08
1.25893e-05 1 1.92749e-08
1.25893e-05 1.25893 1.08751e-08
1.25893e-05 1.58489 1.40085e-08
1.25893e-05 1.99526 1.58178e-08
1.25893e-05 2.51189 9.48055e-09
1.25893e-05 3.16228 1.13493e-08
1.25893e-05 3.98107 1.32817e-08
1.25893e-05 5.01187 9.99873e-09
1.25893e-05 6.30957 1.7024e-08
1.25893e-05 7.94328 8.61346e-09
1.25893e-05 10 1.3563e-08
1.25893e-05 12.5893 9.81384e-09
1.25893e-05 15.8489 8.31147e-09
1.25893e-05 19.9526 1.29855e-08
1.25893e-05 25.1189 1.26024e-08
1.25893e-05 31.6228 1.72077e-08
1.25893e-05 39.8107 1.83461e-08
1.25893e-05 50.1187 1.38245e-08
1.25893e-05 63.0957 1.28623e-08
1.25893e-05 79.4328 1.24414e-08
1.58489e-05 0.0001 2.34704e-09
1.58489e-05 0.000125893 2.39179e-09
1.58489e-05 0.000158489 2.5064e-09
1.58489e-05 0.000199526 2.75001e-09
1.58489e-05 0.000251189 3.22718e-09
1.58489e-05 0.000316228 4.11798e-09
1.58489e-05 0.000398107 5.71401e-09
1.58489e-05 0.000501187 8.43313e-09
1.58489e-05 0.000630957 1.27451e-08
1.58489e-05 0.000794328 1.88566e-08
1.58489e-05 0.001 2.57431e-08
1.58489e-05 0.00125893 2.91006e-08
1.58489e-05 0.00158489 2.21938e-08
1.58489e-05 0.00199526 7.94203e-09
1.58489e-05 0.00251189 1.50662e-09
1.58489e-05 0.00316228 5.04581e-09
1.58489e-05 0.00398107 2.58175e-08
1.58489e-05 0.00501187 4.3377e-08
1.58489e-05 0.00630957 2.50316e-08
1.58489e-05 0.00794328 1.96573e-08
1.58489e-05 0.01 2.4187e-08
1.58489e-05 0.0125893 2.85933e-08
1.58489e-05 0.0158489 2.17578e-08
1.58489e-05 0.0199526 2.07986e-08
1.58489e-05 0.0251189 1.5252e-08
1.58489e-05 0.0316228 2.25362e-08
1.58489e-05 0.0398107 2.44602e-08
1.58489e-05 0.0501187 2.02116e-08
1.58489e-05 0.0630957 1.6736e-08
1.58489e-05 0.0794328 2.59191e-08
1.58489e-05 0.1 1.70069e-08
1.58489e-05 0.125893 1.78253e-08
1.58489e-05 0.158489 2.34303e-08
1.58489e-05 0.199526 1.40614e-08
1.58489e-05 0.251189 2.24358e-08
1.58489e-05 0.316228 1.82353e-08
1.58489e-05 0.398107 1.90295e-08
1.58489e-05 0.501187 1.9484e-08
1.58489e-05 0.630957 2.43255e-08
1.58489e-05 0.794328 2.86409e-08
1.58489e-05 1 3.05485e-08
1.58489e-05 1.25893 1.72357e-08
1.58489e-05 1.58489 2.22018e-08
1.58489e-05 1.99526 2.50694e-08
1.58489e-05 2.51189 1.50255e-08
1.58489e-05 3.16228 1.79873e-08
1.58489e-05 3.98107 2.10499e-08
1.58489e-05 5.01187 1.58468e-08
1.58489e-05 6.30957 2.69811e-08
1.58489e-05 7.94328 1.36513e-08
1.58489e-05 10 2.14959e-08
1.58489e-05 12.5893 1.55538e-08
1.58489e-05 15.8489 1.31727e-08
1.58489e-05 19.9526 2.05804e-08
1.58489e-05 25.1189 1.99733e-08
1.58489e-05 31.6228 2.72722e-08
1.58489e-05 39.8107 2.90765e-08
1.58489e-05 50.1187 2.19102e-08
1.58489e-05 63.0957 2.03852e-08
1.58489e-05 79.4328 1.97182e-08
1.99526e-05 0.0001 3.71968e-09
1.99526e-05 0.000125893 3.79059e-09
1.99526e-05 0.000158489 3.97224e-09
1.99526e-05 0.000199526 4.35834e-09
1.99526e-05 0.000251189 5.1146e-09
1.99526e-05 0.000316228 6.52643e-09
1.99526e-05 0.000398107 9.05596e-09
1.99526e-05 0.000501187 1.33655e-08
1.99526e-05 0.000630957 2.01995e-08
1.99526e-05 0.000794328 2.98856e-08
1.99526e-05 0.001 4.08e-08
1.99526e-05 0.00125893 4.61213e-08
1.99526e-05 0.00158489 3.51748e-08
1.99526e-05 0.00199526 1.25873e-08
1.99526e-05 0.00251189 2.38789e-09
1.99526e-05 0.00316228 7.99701e-09
1.99526e-05 0.00398107 4.09178e-08
1.99526e-05 0.00501187 6.87478e-08
1.99526e-05 0.00630957 3.96722e-08
1.99526e-05 0.00794328 3.11546e-08
1.99526e-05 0.01 3.83336e-08
1.99526e-05 0.0125893 4.53172e-08
1.99526e-05 0.0158489 3.44837e-08
1.99526e-05 0.0199526 3.29633e-08
1.99526e-05 0.0251189 2.41726e-08
1.99526e-05 0.0316228 3.57172e-08
1.99526e-05 0.0398107 3.87666e-08
1.99526e-05 0.0501187 3.2033e-08
1.99526e-05 0.0630957 2.65245e-08
1.99526e-05 0.0794328 4.10787e-08
1.99526e-05 0.1 2.69538e-08
1.99526e-05 0.125893 2.8251e-08
1.99526e-05 0.158489 3.71342e-08
1.99526e-05 0.199526 2.22856e-08
1.99526e-05 0.251189 3.55582e-08
1.99526e-05 0.316228 2.89007e-08
1.99526e-05 0.398107 3.01595e-08
1.99526e-05 0.501187 3.08799e-08
1.99526e-05 0.630957 3.8553e-08
1.99526e-05 0.794328 4.53926e-08
1.99526e-05 1 4.84158e-08
1.99526e-05 1.25893 2.73164e-08
1.99526e-05 1.58489 3.51871e-08
1.99526e-05 1.99526 3.9732e-08
1.99526e-05 2.51189 2.38136e-08
1.99526e-05 3.16228 2.85077e-08
1.99526e-05 3.98107 3.33616e-08
1.99526e-05 5.01187 2.51153e-08
1.99526e-05 6.30957 4.27619e-08
1.99526e-05 7.94328 2.16358e-08
1.99526e-05 10 3.40684e-08
1.99526e-05 12.5893 2.46508e-08
1.99526e-05 15.8489 2.08771e-08
1.99526e-05 19.9526 3.26175e-08
1.99526e-05 25.1189 3.16553e-08
1.99526e-05 31.6228 4.32232e-08
1.99526e-05 39.8107 4.60829e-08
1.99526e-05 50.1187 3.4725e-08
1.99526e-05 63.0957 3.23081e-08
1.99526e-05 79.4328 3.12509e-08
2.51189e-05 0.0001 5.89501e-09
2.51189e-05 0.000125893 6.00741e-09
2.51189e-05 0.000158489 6.29531e-09
2.51189e-05 0.000199526 6.90724e-09
2.51189e-05 0.000251189 8.10583e-09
2.51189e-05 0.000316228 1.03434e-08
2.51189e-05 0.000398107 1.43525e-08
2.51189e-05 0.000501187 2.11826e-08
2.51189e-05 0.000630957 3.20138e-08
2.51189e-05 0.000794328 4.73654e-08
2.51189e-05 0.001 6.46637e-08
2.51189e-05 0.00125893 7.30975e-08
2.51189e-05 0.00158489 5.57483e-08
2.51189e-05 0.00199526 1.99494e-08
2.51189e-05 0.00251189 3.78469e-09
2.51189e-05 0.00316228 1.26743e-08
2.51189e-05 0.00398107 6.48498e-08
2.51189e-05 0.00501187 1.08958e-07
2.51189e-05 0.00630957 6.28759e-08
2.51189e-05 0.00794328 4.93766e-08
2.51189e-05 0.01 6.07542e-08
2.51189e-05 0.0125893 7.18225e-08
2.51189e-05 0.0158489 5.46525e-08
2.51189e-05 0.0199526 5.22428e-08
2.51189e-05 0.0251189 3.83106e-08
2.51189e-05 0.0316228 5.66074e-08
2.51189e-05 0.0398107 6.14404e-08
2.51189e-05 0.0501187 5.07684e-08
2.51189e-05 0.0630957 4.20381e-08
2.51189e-05 0.0794328 6.5105e-08
2.51189e-05 0.1 4.27185e-08
2.51189e-05 0.125893 4.47745e-08
2.51189e-05 0.158489 5.88531e-08
2.51189e-05 0.199526 3.53199e-08
2.51189e-05 0.251189 5.63555e-08
2.51189e-05 0.316228 4.5804e-08
2.51189e-05 0.398107 4.77992e-08
2.51189e-05 0.501187 4.89409e-08
2.51189e-05 0.630957 6.11017e-08
2.51189e-05 0.794328 7.19419e-08
2.51189e-05 1 7.67333e-08
2.51189e-05 1.25893 4.32931e-08
2.51189e-05 1.58489 5.57673e-08
2.51189e-05 1.99526 6.29704e-08
2.51189e-05 2.51189 3.77414e-08
2.51189e-05 3.16228 4.51812e-08
2.51189e-05 3.98107 5.2874e-08
2.51189e-05 5.01187 3.98046e-08
2.51189e-05 6.30957 6.77724e-08
2.51189e-05 7.94328 3.42902e-08
2.51189e-05 10 5.39943e-08
2.51189e-05 12.5893 3.90685e-08
2.51189e-05 15.8489 3.30876e-08
2.51189e-05 19.9526 5.16947e-08
2.51189e-05 25.1189 5.01698e-08
2.51189e-05 31.6228 6.85036e-08
2.51189e-05 39.8107 7.30359e-08
2.51189e-05 50.1187 5.50349e-08
2.51189e-05 63.0957 5.12044e-08
2.51189e-05 79.4328 4.95289e-08
3.16228e-05 0.0001 9.34241e-09
3.16228e-05 0.000125893 9.52056e-09
3.16228e-05 0.000158489 9.97686e-09
3.16228e-05 0.000199526 1.09467e-08
3.16228e-05 0.000251189 1.28463e-08
3.16228e-05 0.000316228 1.63927e-08
3.16228e-05 0.000398107 2.27466e-08
3.16228e-05 0.000501187 3.35716e-08
3.16228e-05 0.000630957 5.0738e-08
3.16228e-05 0.000794328 7.50687e-08
3.16228e-05 0.001 1.02485e-07
3.16228e-05 0.00125893 1.15852e-07
3.16228e-05 0.00158489 8.83549e-08
3.16228e-05 0.00199526 3.16176e-08
3.16228e-05 0.00251189 5.9986e-09
3.16228e-05 0.00316228 2.00872e-08
3.16228e-05 0.00398107 1.02779e-07
3.16228e-05 0.00501187 1.72686e-07
3.16228e-05 0.00630957 9.96507e-08
3.16228e-05 0.00794328 7.82565e-08
3.16228e-05 0.01 9.6288e-08
3.16228e-05 0.0125893 1.1383e-07
3.16228e-05 0.0158489 8.66176e-08
3.16228e-05 0.0199526 8.27984e-08
3.16228e-05 0.0251189 6.07172e-08
3.16228e-05 0.0316228 8.97157e-08
3.16228e-05 0.0398107 9.73755e-08
3.16228e-05 0.0501187 8.04614e-08
3.16228e-05 0.0630957 6.66249e-08
3.16228e-05 0.0794328 1.03184e-07
3.16228e-05 0.1 6.77033e-08
3.16228e-05 0.125893 7.09621e-08
3.16228e-05 0.158489 9.32748e-08
3.16228e-05 0.199526 5.59774e-08
3.16228e-05 0.251189 8.93166e-08
3.16228e-05 0.316228 7.25934e-08
3.16228e-05 0.398107 7.57557e-08
3.16228e-05 0.501187 7.75652e-08
3.16228e-05 0.630957 9.68385e-08
3.16228e-05 0.794328 1.14019e-07
3.16228e-05 1 1.21613e-07
3.16228e-05 1.25893 6.86137e-08
3.16228e-05 1.58489 8.8384e-08
3.16228e-05 1.99526 9.98004e-08
3.16228e-05 2.51189 5.9815e-08
3.16228e-05 3.16228 7.16063e-08
3.16228e-05 3.98107 8.37986e-08
3.16228e-05 5.01187 6.30852e-08
3.16228e-05 6.30957 1.07411e-07
3.16228e-05 7.94328 5.43457e-08
3.16228e-05 10 8.55742e-08
3.16228e-05 12.5893 6.19185e-08
3.16228e-05 15.8489 5.24394e-08
3.16228e-05 19.9526 8.19294e-08
3.16228e-05 25.1189 7.95129e-08
3.16228e-05 31.6228 1.0857e-07
3.16228e-05 39.8107 1.15753e-07
3.16228e-05 50.1187 8.72233e-08
3.16228e-05 63.0957 8.11526e-08
3.16228e-05 79.4328 7.84969e-08
3.98107e-05 0.0001 1.48056e-08
3.98107e-05 0.000125893 1.5088e-08
3.98107e-05 0.000158489 1.58112e-08
3.98107e-05 0.000199526 1.73483e-08
3.98107e-05 0.000251189 2.0359e-08
3.98107e-05 0.000316228 2.59796e-08
3.98107e-05 0.000398107 3.60498e-08
3.98107e-05 0.000501187 5.32064e-08
3.98107e-05 0.000630957 8.04133e-08
3.98107e-05 0.000794328 1.18975e-07
3.98107e-05 0.001 1.62428e-07
